CLUSTER_A,CLUSTER_B,SIMILARITY,CONTRAST
11,12,両クラスタは、火山活動・堆積作用・地殻変動に起源を持つ「地形的境界帯・遷移帯」に立地し、標高が概ね数m以下の低海抜帯に集中するという地形的脆弱性を共有している。,クラスタAが干拓地・埋立地・三角州など大陸沿岸・内陸水系に連なる多様な地形遷移帯に広域分散するのに対し、クラスタBは火山性離島の海縁低標高帯に限定され、孤立した島嶼地形という閉鎖的・海洋的文脈に特化している点が本質的差異である。
13,71,両クラスタとも低〜中標高の多様な地形分類（扇状地・谷底低地・砂礫質台地など）に広域分散して立地し、純粋な都市部でも深山部でもない「人間活動と自然地形が接する縁辺的環境」に位置する点を共有している。,クラスタAは透水層・不透水層の境界や沖積低地縁辺など水文地形学的湧出帯への立地が本質であるのに対し、クラスタBは公共交通・道路インフラに支えられた生活圏内の余暇・健康・福祉複合拠点としての土地利用機能が本質であり、前者は「自然的水循環の結節点」、後者は「社会的サービス供給の結節点」として対照的な立地論理を持つ。
14,54,両クラスタとも後背湿地・三角州・砂州など沖積起源の低平な堆積性地形上に立地し、かつての湿潤低地や沿岸低地を人工的に改変・造成した上に都市的・生活的土地利用が重畳している点を共有する。北海道・東北の地方都市における「軟弱堆積地盤上の生活インフラ集積」という構造的共通性を持つ。,クラスタAは地方銀行・郵便局・診療所・学校など住民の日常生活を直接支える基礎的インフラが卓越する「縮退型地方都市の生活基盤ゾーン」であるのに対し、クラスタBはリゾート型・交通結節型・福祉施設型・郊外商業型など施設集積の性格が多岐に分岐しており、特定の都市機能に収斂しない「機能複合・用途混在型の堆積低地利用」という点で本質的に異なる。
15,86,両クラスタとも、特定の入浴施設を核として多様な地形・標高・地域に分散立地しており、単一の地理的条件に依存せず「施設の機能的役割」が立地の本質的な共通項となっている。,クラスタAは急傾斜地・崖地・擁壁といった地形的制約に適応した観光・宿泊施設の斜面集積構造が本質であるのに対し、クラスタBは平坦な住宅街区に根ざした生活インフラ（学校・クリニック・郵便局等）との複合的集積が本質であり、前者が「地形への建築的適応」、後者が「地域コミュニティの生活結節」という対照的な空間的論理を持つ。
16,59,両クラスタは、平坦な大都市圏ではなく地方・郊外の起伏ある地形上に立地し、歴史的・文化的蓄積を持つ施設（社寺・文化財・記念館・行政施設）が集積することで、地域の拠点性・回遊性を形成している点を共有する。,クラスタAは急傾斜地形を活かした歩行者動線の重層的整備により「垂直方向の空間的回遊性」を創出する観光街路空間であるのに対し、クラスタBは鉄道廃線という交通インフラの喪失を契機に公共施設が代替集積した「水平方向の行政・生活サービス再編拠点」であり、地域中心性の形成メカニズムが本質的に異なる。
17,42,"両クラスタは共に、山地・渓谷地形に刻まれた河川・渓流との近接性を基盤とし、標高100m台〜1,000m超の急峻な山間部に立地する。一軒宿・野湯・秘境的施設など、平地の大規模開発とは異なる小規模・点在型の土地利用形態を共有している。",クラスタAは幹線道路沿いや公共交通整備地点を含む「アクセス連続体」として多様な到達難易度が混在するのに対し、クラスタBは一般車通行禁止・徒歩3時間超・郵便困難地指定など制度的・物理的遮断が全ノードに共通する「外界からの孤立性」を本質的特徴とする点で根本的に異なる。
18,53,両クラスタとも北海道を主要な地理的基盤とし、扇状地を含む堆積起源の地形上に形成された市街地・集落であり、住民の日常生活を支えるコンビニ・郵便局・公共交通などの生活インフラが立地する「人間活動の定着した土地」という本質を共有している。,クラスタAは豊平川扇状地という単一の地形単元に限定された都市的土地利用の連続体であるのに対し、クラスタBは三角州・砂丘・後背湿地・自然堤防など11種類に及ぶ多様な低標高堆積地形上に広域分散した地方生活拠点群であり、地形的均質性と都市集積度において根本的に異なる。
19,52,両クラスタとも、急峻な火山・山岳地形を基盤とし、人間の営みが自然環境に深く依存して形成された「非都市型の特殊目的地」である点が共通する。いずれも平野部から隔絶された地理的条件のもと、宗教的聖域またはウィンタースポーツ拠点として固有の文化的・社会的機能を担い、国立・国定公園等の自然保護区域とも重なる。,クラスタAは火山荒野の畏怖・聖性を核とした宗教的・精神的空間であり、施設は参道・堂宇・聖石など信仰インフラが中心で交通アクセスは限定的である。対してクラスタBは豊雪山岳地帯における鉄道・幹線道路による高アクセス性を前提とした大衆レクリエーション経済圏であり、ゲレンデ・ゴンドラ・リゾート施設など消費型観光インフラが集積する点が本質的に異なる。
20,29,両クラスタはいずれも、火山性・堆積性地形の緩斜面〜山麓部という自然地形的制約の中で、宿泊施設（hotel・house系建物）と歩行者動線が複合的に集積した高標高観光拠点という本質的構造を共有する。,クラスタAは火山山麓の緩傾斜帯に車道・駐車場を基盤とした面的な観光インフラが展開する「自動車アクセス型の開放的集積地」であるのに対し、クラスタBはhighway=pedestrian・surface=paving_stonesが卓越する石畳路地に旅館棟が密接する「歩行者主体の近世的線的街路空間」であり、街区の骨格をなす交通インフラの形態と空間スケールが根本的に異なる。
22,90,両クラスタはともに、行政・農協・地域組合などの公的主体が関与する複合施設を核とし、かつての一次産業や土地改変の歴史を背景に持つ「地域の公共的機能集積地点」という本質を共有している。,クラスタAは埋立・干拓・炭鉱跡地など大規模な人為的土地改変を経て観光・商業・工業等の多業種機能へ転換した「産業再編型複合地」であるのに対し、クラスタBは地方中小都市・農山村において行政・農協主導の福祉・生活サービス施設が地域コミュニティ維持を目的に集積した「地域自立型公共拠点」であり、土地改変の規模・転換の目的・施設の公共性の質が根本的に異なる。
23,48,両クラスタは、鉄道アクセスを欠く山間・火山性地形において道路網のみを生命線とする孤立立地という点で共通し、国有林・国立公園内に点在する施設整備水準の多様な拠点群として、都市インフラから切り離された「陸の孤島的性格」を本質的に共有している。,クラスタAは非火山性山地を含む地形的多様性と施設・管理主体の広範な分散が特徴であるのに対し、クラスタBは東北火山弧に沿った活発な地熱エネルギー系という地質的一貫性が際立ち、松川地熱発電所に代表される地熱の産業的転用など、火山性熱水系が土地利用の根幹を規定している点が本質的な差異である。
24,45,両クラスタはともに全ノードが「火山地」に分類され、700〜1230mの高標高帯に位置する火山性地形上に成立している。火山活動に由来する地質構造・地表形成プロセスの共通性が、地理的分散を超えてクラスタとしての物理的均質性を担保している。,クラスタAは硫化物系泉質・噴気地形・廃鉱山跡など熱水変質作用が現在進行形で地表に露出する「活動的変質帯」であるのに対し、クラスタBは緩起伏の溶岩台地・火山砕屑物由来の安定した高原地形が卓越する「静的火山性高原」であり、火山活動の現成性と地形の動的・静的状態が本質的に異なる。
25,23,両クラスタとも火山性・山地地形に立地し、標高800〜930mに及ぶ広い高度帯を持つ。地熱流体が地表または地下で水文系と交差する地点を核とし、平野部の都市インフラから切り離された内陸高地の「地形的孤立帯」に分布する点が共通の本質である。,クラスタAは地熱エネルギーが地形・水文環境に直接露出する「地熱露頭帯」として自然プロセスが卓越するのに対し、クラスタBは道路網のみを生命線とする「道路交通依存型孤立拠点」であり、人的アクセス基盤と施設管理主体の多様性が立地の本質を規定している点が最大の差異である。
26,87,両クラスタとも、山間・渓谷・丘陵といった地形的に制約された立地において、温泉を核とした観光・生活機能が集積する「地形的くびれ点への人的・施設的集中」という構造を共有している。,クラスタAが河川侵食地形（段丘・渓谷・谷底低地）への線的・局所的な施設集積を特徴とするのに対し、クラスタBは山間孤立集落における行政・教育・観光・交通インフラが一体化した面的・複合的な地域拠点性を本質とする点で根本的に異なる。
27,28,両クラスタはともに火山地形を含む北海道の自然優占地帯であり、森林・河川・国立公園といった自然的土地利用が卓越し、大規模な都市的開発が抑制された「低人工改変度の自然・準自然景観」を基盤として共有している。,クラスタAが砂礫質台地・谷底低地・山地など多様な地形分類と広域的地域分布を持つ「地形的多様性の集合体」であるのに対し、クラスタBは有珠山噴火イベントに起因する火山地形が集中的に卓越し、噴火の地形的記憶が現在も可視的に残存する「単一火山活動史に収斂した景観」である点が本質的差異である。
29,30,両クラスタはともに、山岳・丘陵地帯の扇状地や斜面上に形成された宿泊・観光集積地であり、木造旅館・ホテルが密集し、歩行者動線を軸とした街区構造を持つ点で共通する。標高差や地形分類の多様性を内包しながらも、非日常的滞在を目的とした観光地型土地利用という本質的性格を共有している。,クラスタAは石畳路地・細街路・木造多層旅館が密集する「歩行者主体の近世的宿場型街路空間」であるのに対し、クラスタBはスキー場・索道（aerialway）・スポーツ用品店等の冬季スポーツインフラを核とした「冬季スポーツ観光複合集積地」であり、街区形成の駆動力が歴史的街道文化か冬季スポーツ産業かという点で本質的に異なる。
30,31,両クラスタとも火山山麓地・高標高帯に立地し、スキー場・索道・宿泊・飲食・商業施設が複合的に集積する山岳観光地である点で共通する。急峻な地形的制約の上に人工的観光インフラが重層化された「山岳火山性地形上の観光集積地」という物理的本質を共有している。,"クラスタAは豪雪帯の広域分散型で、スキー場・ゲレンデ・索道を核とする冬季スポーツインフラが主軸であり、地形・標高・交通形態の多様性が高い。対してクラスタBは草津白根火山山麓の標高1,100〜1,200m帯に地形分類・標高帯ともに均質に集中し、急傾斜・段差・崖・トンネルなど火山地形の物理的制約が街区構造そのものを規定している点が本質的差異である。"
32,42,両クラスタはともに、周囲の地形・制度・インフラによって外界から切り離された「地形的・構造的孤立地点」に立地しており、山地・台地上の閉鎖的地形単位への集中という本質的共通性を持つ。,クラスタAの孤立性は渓谷・峡谷・山麓斜面という地形形状そのものに起因する「地形的閉塞性」であるのに対し、クラスタBの孤立性はゲート規制・郵便困難地指定・鉄道専用アクセスなど「制度的・インフラ的遮断」によって成立しており、孤立の成因が自然地形か社会的管理かという点で本質的に異なる。
33,35,両クラスタとも標高400〜1100m台の山地・谷底低地に立地し、河川侵食谷や山腹斜面という険しい地形条件下で、鉄道・国道・林道・橋梁などの交通インフラが人的アクセスを担保する「山間交通結節点」としての本質を共有している。,クラスタAは黒部峡谷鉄道のスイッチバック駅や日乗車31人の極低利用路線など幹線網から切り離された「交通末端の孤立拠点」であるのに対し、クラスタBは県道・国道・ロープウェイ等が貫通し外部との接続性が機能的に維持された「山間通過・接続拠点」である点が本質的差異である。
34,36,両クラスタはともに標高700〜1200m帯の火山性地質を基盤とする高標高地帯に位置し、火山活動に起源を持つ地形（火山地・火山山麓地）が卓越する点を共有する。急峻な地形と火山性地質が土地の物理的性質を根本的に規定している点が本質的共通項である。,クラスタAは現在進行形の地熱・火山ガス噴出が地表環境を直接規定する「活動的火山プロセス卓越帯」であるのに対し、クラスタBは火山活動の産物である高原地形を基盤としつつも、アウトレット・美術館・スケートリンク等の多様なレジャー・文化施設が重層的に集積した「火山山麓高原型複合リゾート集積地」であり、火山との関係が「現在の地表プロセス」か「地形的基盤の利活用」かという点で本質的に異なる。
37,106,両クラスタとも、火山山麓地・谷底低地・扇状地など多様な堆積性・火山性地形上に立地しつつ、警察署・郵便局・学校・医療施設といった公共・生活インフラが複合的に集積する「地域住民の日常生活を支える複合的サービス拠点」としての性格を共有している。,クラスタAは低標高の堆積地形上に旧市街・ニュータウン・再開発地区など多様な居住形態が重層する「生活圏そのもの」であるのに対し、クラスタBは農山村・漁村・工業地帯など広域の異質な後背地を束ねる行政・公共サービスの「広域結節点」としての機能が卓越しており、インフラ集積の空間的役割が本質的に異なる。
38,97,両クラスタとも、急峻な山間地形に立地し、地質・地球物理的プロセス（火山活動・断層・鉱物資源）が土地利用や集落形成の立地条件を直接規定している点で共通する。いずれも単純な山間集落ではなく、地質的・水文的な自然環境の制約と恩恵が人間活動の空間配置を決定づけた地帯である。,クラスタAは火山噴火・鉱山開発・ダム建設といった「地質的撹乱イベント」が土地利用を規定した地帯であるのに対し、クラスタBは河川・湧水・地熱という「継続的な流水・水文環境」が立地の物理的基盤となっている点が本質的な差異である。前者は地質的激変への人間の適応・対応が景観を形成し、後者は恒常的な水系との共存が土地利用の多様性を生んでいる。
39,55,両クラスタは、北海道・東北の広域に分散しつつ、地形・土地利用・産業背景が極めて多様な地点群で構成される点で共通する。いずれも純粋な居住地・観光地に分類されない「地域の複合的サービス拠点」としての性質を持ち、農林漁業・文化施設・交通インフラと有機的に結びついた地域固有の結節点として機能している。,クラスタAは廃線跡・小規模集落など縮退・代替的文脈における公共福祉インフラの残存拠点であるのに対し、クラスタBは道の駅・スポーツ施設・バス路線等を一体的に整備した「計画的・複合的な地域サービス結節点」であり、施設の整備水準・機能統合の意図性と持続的な地域振興への能動的関与度において本質的に異なる。
41,56,両クラスタは、扇状地・後背湿地・砂礫質台地などの堆積性低地地形を基盤とし、農村・郊外における住民の日常生活を支える分散型インフラ（郵便局・公民館・神社・バス停・鉄道駅など）が点在する「非都市型生活圏」としての本質的性格を共有している。,クラスタAは水田・畑作を軸とした農業的土地利用と農村生活インフラが卓越する「農業生産型低地生活圏」であるのに対し、クラスタBは鉄道駅・道の駅・病院・役場など複数の公共機能が一点に集積する「複合公共サービス結節点」としての性格が本質的な差異である。
43,50,両クラスタとも北海道・東北の火山性地形を基盤とし、平野部の集落・市街地から物理的に隔絶された孤立立地に、観光・レジャー・自然体験を主機能とする施設が点在するという共通の空間的性質を持つ。,クラスタAが標高600m超の火山地・山地に限定され冬季閉鎖や登山口機能を伴う高標高孤立拠点であるのに対し、クラスタBは標高45〜543mの火山性丘陵・山麓・台地・低地など多様な地形分類にまたがり、農業・教育・産業インフラが複合する農山村型の低〜中標高孤立拠点である点が本質的な差異である。
44,45,両クラスタとも火山活動に起源を持つ高原〜山岳帯の地形上に立地し、溶岩・火山砕屑物由来の地質構造と地熱エネルギーが土地の物理的性質・生態系・土地利用を根本的に規定している点で共通する。,クラスタAは噴気孔・強酸性河川・熱水変質など地熱流体が現在進行形で地表に露出する「地熱露頭帯」であるのに対し、クラスタBは地熱の地表露出よりも溶岩台地・火山砕屑物が形成した緩起伏の「火山性高原地形」としての地形的均質性が本質であり、地熱活動の表現強度と地形形成プロセスの主役が根本的に異なる。
46,48,両クラスタとも、山岳・火山性地形（山地・火山地・火山山麓地）に属する高標高帯に立地し、平地集落から物理的に隔絶された孤立性を本質的特徴として共有する。周辺道路は細道・山道・林道が主体で、スキー場や登山道など山岳レクリエーション施設が混在する点も共通している。,クラスタAは多様な成因の山岳地形（山地・火山地・火山性丘陵）に広く分布し、アクセス困難性と地形的隔絶が立地の本質であるのに対し、クラスタBは東北火山弧に沿った火山性地熱帯という地質的特異性が立地を規定しており、松川地熱発電所や農業転用など地熱エネルギーの産業的利用が確認される点が決定的に異なる。
47,51,両クラスタはいずれも標高500m超の火山地・火山山麓地または山地に分布し、国立公園・国定公園の保護区域内に位置するノードを多く含む。積雪や地形的制約により季節性・アクセス制限を伴う山岳・高原環境に立地し、自然環境が土地利用の根本的な規定要因となっている点が共通する本質的特徴である。,クラスタAは登山口・トレイルヘッドとして人の移動を山岳フロンティアへ接続する「通過・出発拠点」としての機能が本質であるのに対し、クラスタBは地熱エネルギーが発電・湿原形成・高温熱水湧出など多様な形態で地表に顕現し続ける「地熱活動の現在進行形の露出帯」としての性質が本質であり、前者が人的動線の結節点、後者が地球内部エネルギーの地表的表出点という根本的な差異がある。
48,49,両クラスタは共に「火山地」「火山山麓地」を主体とする地形分類を持ち、標高500m超の高標高帯に位置する火山性地熱フラックスの影響下にある土地である。地熱発電所・野湯湧出点・国有林・国立公園といった土地管理形態が重複し、地熱エネルギーが地表近傍まで達する活発な火山性熱水系を共通の物理的基盤として持つ。,クラスタAは東北火山弧（十和田八幡平・吾妻山系）に沿った地理的集中と「高標高孤立立地」という空間的孤絶性が本質であるのに対し、クラスタBは磐梯山・蔵王など複数火山体にまたがる広域分散性と、スキー場・廃墟・住宅系道路・渡河点など土地利用段階の極端な多様性が本質であり、地熱環境の「空間的凝集」対「地域横断的拡散」という構造的差異が両者を分ける。
51,52,両クラスタはともに標高200m以上の山岳・火山性地帯に立地し、地下・地表の地熱・積雪など自然環境の卓越した物理的エネルギーが地域の土地利用と経済活動を根本的に規定している点を共有する。,クラスタAは現在進行形の地熱流体が地表に直接露出し地形・植生・土地利用を能動的に形成する「地熱顕現帯」であるのに対し、クラスタBは豊雪環境と広域交通網の結節点という受動的・季節的条件を基盤にウィンタースポーツ産業が外部から重層的に整備された「交通結節型山岳観光拠点」であり、自然エネルギーの作用様式と人間活動の介入構造が本質的に異なる。
53,54,両クラスタともに、後背湿地・三角州・自然堤防・砂丘・砂礫質台地などの低平な沖積・堆積地形を共通基盤とし、自然排水が不良な軟弱地盤上に人工的な土地利用が重畳した「氾濫原〜沿岸低地系の生活・都市空間」という本質的性格を共有している。,クラスタAは11種類に及ぶ地形分類と北海道・東北の広域にわたる地方都市・農村の「日常生活圏」としての均質な生活インフラ集積が核心であるのに対し、クラスタBは後背湿地優位の限定的地形構成ながら、リゾート型・山間集落型・商業交通結節型など施設集積の機能的性格が大きく分岐する「土地利用の多機能的重畳」が本質的差異である。
55,56,両クラスタはともに、北海道の農村・郊外・都市周縁部において、道の駅・公園・交通結節点・地域施設が複合的に集積する「公共サービス結節点」としての性質を共有しており、地域住民と来訪者の双方を受け入れる多機能型の地域拠点として機能している点が本質的な共通特徴である。,クラスタAは炭鉱跡地・アイヌ文化圏・大規模リゾートなど産業史・文化的背景が多彩で、観光・地域振興機能を前面に出した「広域来訪者対応型拠点」であるのに対し、クラスタBは鉄道駅・役場・病院・バス路線が一点に集まる行政・医療・交通インフラ主導の「住民日常生活支援型拠点」としての性格が際立つ。
57,87,両クラスタとも、平野部から隔絶された地形的遷移帯（山麓・丘陵・谷底低地など）に位置し、地下水・地表水の集積構造を背景に持つ。また、単独施設ではなく周辺の土地利用・インフラと複合的に結びついた「地域の物理的集積点」として機能する点が共通する。,クラスタAは水文地形学的な「湧出・集水の物理的条件」が立地の核心であり、地形分類の多様性は水収支の集積機構の多様な発現形態に過ぎない。一方クラスタBは地形条件よりも「山間孤立集落における行政・観光・交通の唯一的集約拠点」という社会地理的機能が本質であり、施設複合性と地域拠点性が立地を規定している。
58,88,両クラスタは、都市圏から隔絶された地理的辺縁部（孤島・半島・山峡・農山漁村）に立地しながら、地域固有の自然・歴史・産業資源を活かした公共的拠点として機能する「辺縁的地域拠点」という本質を共有する。,クラスタAは道の駅・ビジターセンター・文化施設など観光・公共サービスを複合的に整備した「資源活用型の対外発信拠点」であるのに対し、クラスタBは小学校・コミュニティセンター・農地・廃線跡など地域住民の生活維持に根ざした「内向きのコミュニティ存続拠点」である点が最も本質的な差異である。
60,90,両クラスタとも、行政・地域組合・公益法人が運営主体となる複合施設の一機能として立地し、観光客のみならず地域住民の日常的な生活インフラ・コミュニティ拠点として機能する「公設・公益型の地域交流施設」という本質的性格を共有している。,クラスタAは道の駅・老人福祉センター・文化観光施設など施設種別の多様性が際立ち、地形・標高・地質を横断して点在する「施設機能の多様な複合体」であるのに対し、クラスタBは市役所・バスターミナル・郵便局・警察署など行政・生活サービス機能が集積する地方都市・農山村の「地域コミュニティの自立的維持装置」としての核的立地に特化している。
61,62,両クラスタとも、平坦な都市平野部を避けた丘陵・山地・台地・火山山麓地などの非平坦地形に立地しながら、観光・交通・公共・商業・文化といった複数機能が重層する「複合的地域拠点」を形成している点が共通する本質的特徴である。,クラスタAが多様な地域・地形に分散した「多機能結節点の集合体」であるのに対し、クラスタBは熱海を支配的核として急峻な山地斜面に大規模宿泊施設と幹線鉄道インフラが同時に高密度で刻み込まれた「斜面集積型インフラ複合地」であり、地形への物理的適応の強度と空間的集中度が根本的に異なる。
63,110,両クラスタとも、河川作用で形成された沖積低地（三角州・後背湿地・自然堤防等）上に立地し、低標高・軟弱地盤という地形的脆弱性を抱えながら、住宅・教育・商業施設が高密度に集積した近代的生活市街地を形成している点で本質的に共通する。,クラスタAは扇状地・ローム台地・埋立地・干拓地など多様な地形分類と広い標高幅（最大33m）を包含する地形的多様性が際立つのに対し、クラスタBは沖積低地系地形に収斂しつつも私鉄路線の駅勢圏という交通結節性が市街地形成の核となっている点が本質的な差異である。
64,108,両クラスタとも地形分類・標高・地域を問わず、コンビニ・小規模商店・バス停など徒歩圏完結型の日常生活インフラが一定密度で揃う「近隣生活圏」の等質性によって規定されており、公衆浴場が街区の物理的・社会的中心として現役機能している点が共通の本質である。,クラスタAは関東・東海・近畿の広域に分布し標高差0.5〜179.4mに及ぶ地形横断的な多様性を持ち、大型再開発型から歴史的街区まで施設密度の振れ幅が大きい一方、クラスタBは近畿・東海の都市近郊低平地（標高−0.9〜22m程度）に重心があり、大型商業施設や鉄道ターミナルを欠く小規模住宅街区としての均質性が高い。
65,92,両クラスタとも、沖積・堆積起源を含む多様な地形上に、単一機能ではなく複数の集客・生活機能が複合的に集積した「多機能複合拠点」としての性質を共有する。地形的脆弱性や多様性を問わず、人的活動の集積点として機能している点が共通の本質である。,クラスタAは観光・レジャー・スポーツ等の非日常的需要を主軸とした「来訪者向け集客開発」が本質であるのに対し、クラスタBは買物・福祉・交通・入浴等の日常的需要を支える「地域住民向け生活複合拠点」としての性質が本質であり、施設の主たる利用者層と機能目的が根本的に異なる。
66,75,両クラスタは、地形的平坦性・堆積地形の有無を問わず、自動車交通を前提とした郊外型複合土地利用が展開する点で共通する。大型商業・娯楽・飲食・宿泊施設が面的に集積し、日常的な生活サービスが広域的に分散立地する「郊外型複合市街地」という機能的性質を本質的に共有している。,クラスタAは標高0〜20m程度の三角州・扇状地・後背湿地など低平堆積地形に強く限定され、地形的均質性がロードサイド商業集積の立地条件と直結しているのに対し、クラスタBは標高0.5〜153mにわたる8種の地形分類に分散し、地形条件に依存せず「郊外生活圏の複合的土地利用密度」という機能的特性のみで収束している点が最も本質的な差異である。
67,77,両クラスタは、地方の温泉地・旧宿場町・旧村中心部に形成された小規模市街地という点で共通し、旅館・飲食・生活サービスが徒歩圏内に凝縮した「地方小核市街地」としての構造的本質を共有している。,クラスタAは地形的傾斜・段差・水辺を軸に観光商業機能が線状・集積的に発達した「地形制約適応型の観光街区」であるのに対し、クラスタBは医療・金融・食料品等の多業種が平面的に凝縮した「住民日常生活を支える生活圏核」であり、街区形成の主軸が地形的制約か生活機能充足かで本質的に異なる。
68,70,両クラスタとも、地形的多様性を横断しながら、地方自治体主導による公共・福祉・生活支援機能が集積した「地域住民の日常生活を支える複合的公共拠点」としての土地利用パターンを共有しており、観光・商業目的ではなく行政・福祉インフラの結節点として機能している。,クラスタAが市町村中心部に近い「生活インフラ複合拠点」として行政・教育・福祉を横断的に統合する能動的な地域核を形成するのに対し、クラスタBは廃駅・廃校・統廃合が示す人口減少の文脈の中で、旧町村スケールの縁辺部に残存・集約された末端的福祉インフラ拠点という受動的・縮退的な性格を帯びている。
