CLUSTER_A,CLUSTER_B,SIMILARITY,CONTRAST
11,12,両クラスタとも、火山性熱源を持ち海岸線・水際に直接立地する温泉という本質的条件を共有する。標高がほぼ0〜数m台の低地地形（砂州・ローム台地・火山地）に湧出点が位置し、海岸線タグや干潮・波浪の影響を受ける物理環境が共通している。,クラスタAは本土沿岸に広く分散し、大型リゾートから野湯まで施設規模・開発形態が多様な「本土海岸立地型」であるのに対し、クラスタBは本土から隔絶された離島に限定され、現在進行形の火山活動・極端なアクセス困難・野趣型利用が卓越する「離島火山性海岸直結型」である点が最も本質的な差異である。
13,71,両クラスタは、観光旅館や秘湯宿ではなく地域住民が日常的に利用する公衆浴場・足湯・スーパー銭湯型施設を核とし、「生活インフラとしての温泉」という機能的性格を共有する。施設形態・泉質・地形は多様でも、公共的アクセス性と日常利用性が両クラスタを貫く本質的共通軸である。,クラスタAは中国山地・北陸・山陰など山間河川沿いの谷底低地・台地縁辺に立地し、地域固有の泉質（ラドン泉等）や総湯・飲泉所といった伝統的公衆浴場形態が卓越するのに対し、クラスタBは関東・東海・近畿の都市近郊平坦低地（干拓地・ローム台地・埋立地等）に立地し、スーパー銭湯・福祉施設併設型など現代的商業・行政インフラと融合した「街の湯」形態が支配的である。すなわち両者を分かつ本質は、山間地域の地域文化的温泉インフラか都市近郊の現代的生活サービス施設かという立地環境と施設性格の差異にある。
14,54,両クラスタとも「生活圏密着型の温泉・公衆浴場」を核とし、観光リゾートとして独立立地するのではなく、住宅地・商店街・生活インフラと混在する日常的入浴施設が主体である。低廉な入浴料や周辺の郵便局・医療機関・コンビニの存在が、地域住民の保養需要を担う施設としての共通性を裏付けている。,クラスタAは住宅地・旧城下町・市電沿線など「既成市街地の生活組織に埋め込まれた銭湯的温泉」が本質であるのに対し、クラスタBは廃駅跡地転用・ロードサイド・駅前商業地・湖畔リゾートなど「施設立地の成立経緯と土地利用形態が多元的」であり、観光性と生活性の両極が同一クラスタに共存する点が最大の差異である。
15,86,両クラスタとも「宿泊を前提としない公衆浴場・日帰り入浴施設」であり、観光客と地域住民の双方が利用する開放的な入浴空間として機能している点が共通する。また、広域に分散した立地・多様な地形分類・複合的な土地利用という地理的多様性を内包しつつ、温泉・入浴文化を地域コミュニティに根付かせる社会的インフラとしての役割を担う点も両者に共通する本質的特徴である。,クラスタAは「歴史的温泉観光地の文脈に埋め込まれた両義的公衆浴場」であり、観光旅館・源泉跡・神社・温泉街と不可分に共存する地域固有性が核心である。一方クラスタBは「都市生活圏の住宅地・駅前・郊外に立地する日常的入浴施設」であり、観光的文脈から切り離された純粋な生活インフラとしての性格が支配的である。すなわち両者を分かつ最も本質的な軸は「温泉観光地との文脈的結合度」である。
16,59,両クラスタは、温泉施設が単なる宿泊・入浴サービスを超えて地域の社会的・文化的文脈に深く埋め込まれた「場所性を持つ公共的温泉空間」である点を共有する。泉源や施設が地域アイデンティティの核を形成し、住民・来訪者の集積拠点として機能している。,クラスタAは泉源露出・外湯回遊・歴史文化複合を軸とした「観光動線型温泉街」であり、中世以来の宗教・権力的文脈が温泉利用と結合した非日常空間である。対してクラスタBは福祉センター・体育館・道の駅等との複合施設として地域住民の健康増進・日常入浴を担う「生活インフラ型公共温泉」であり、観光性を持たない日常的コミュニティ機能が本質である。
17,34,両クラスタとも山地・火山地形を立地基盤とし、平地型温泉地とは異なる地形的制約と秘湯的孤立性を共有する。また、一軒宿・野湯から観光地化された温泉街まで施設規模の幅広い内部多様性を持ち、地形・地質が温泉の存在根拠を規定している点も共通する。,クラスタAの本質は「共同浴場を核とした制度的・社会的紐帯」であり、地形的多様性（山地・扇状地・丘陵・砂礫質台地）を内包しながらも来訪者と地域を結ぶ仕組みが温泉地のアイデンティティを形成する。一方クラスタBは地形分類が山地・火山地・火山山麓地に限定され、火山性ガス噴出・硫黄泉など火山活動そのものが温泉成立の直接的根拠となる「高標高火山環境依存型」であり、社会的制度ではなく地質的必然性がクラスタの本質を規定する。
18,14,両クラスタとも、観光リゾートとして孤立立地するのではなく、住宅地・商業施設・公共交通などの日常生活インフラと同一街区に混在する「生活密着型の公衆浴場・温泉施設」という本質的性格を共有しており、低〜中程度の入浴料が示す通り地域住民の日常利用を主軸とする点で一致する。,クラスタAは標高17〜82mの都市扇状地に限定され、地下鉄直結の高密度市街地に組み込まれたホテル・商業複合施設付帯型温泉が主体であるのに対し、クラスタBは砂州・後背湿地・埋立地・火山湖畔など多様な地形分類にまたがり、北海道・東北の広域に分散する単独公衆浴場・小規模温泉街が主体である点が最も本質的な差異である。
19,52,両クラスタとも火山性地質を基盤とし、温泉単体ではなく宗教施設・スキー場・文化施設など外部コンテンツと複合することで観光・利用価値を成立させている「付帯・複合型温泉」という構造的共通性を持つ。,クラスタAは火山地に限定された宗教的聖域と温泉の一体化（浄化儀礼としての入浴）を本質とするのに対し、クラスタBはスキーリゾートインフラへの機能的内包を本質とし、地形分類・施設規模・付帯コンテンツが極めて多岐にわたる世俗的観光消費型温泉である点が最も本質的な差異である。
20,31,両クラスタとも火山山麓地形上に立地し、pH約2.0の強酸性自噴源泉が地表に直接露出する地熱直結型の構造を持つ。fee=noの無料共同浴場が公共インフラとして街区に組み込まれており、源泉と浴場文化が地形分類と一体化している点が本質的共通基盤である。,クラスタAは草津・日光湯元という異なる地域・泉質・利用形態（大規模観光街vs静養保養地）を包含する地域横断的多様性が特徴であるのに対し、クラスタBは草津温泉単一地域内の湯畑核・旅籠街・自然公園・幹線道路型という土地利用の密度グラデーションと、那須の非典型的温泉活用を含む施設集積構造の多層性が本質的差異である。
22,106,両クラスタとも、地方自治体・公社・財団が運営主体となる「公共性の高い地域密着型温泉施設」であり、観光旅館や秘湯とは異なり、地域住民の生活インフラ・福祉・健康増進を主目的とする点で本質的に一致している。,クラスタAは「地域課題解決・産業転換・広域集客」を目的とした多機能複合型施設（道の駅・遊園地・物産館等との一体化）が中心であるのに対し、クラスタBは「コミュニティ内の日常的入浴・福祉サービス提供」に特化した小規模地域密着型施設が重心であり、施設の社会的役割スケールと集客圏の広狭が両者を分ける最も本質的な差異である。
23,49,両クラスタとも東日本の火山性山地・高標高帯に分布し、行政による画一的な整備が及びにくい立地に自然湧出型の温泉が存在する点、および野湯・粗放的利用形態を含む多層的な利用スペクトルを持つ点が共通する本質的特徴である。,クラスタAは「制度的管理の外縁」という粗放性・自己責任性が本質であり地熱エネルギー強度は問わないのに対し、クラスタBは火山性地熱エネルギーの「圧倒的な強度と過剰さ」が観光・産業・野湯へ多層転用される点が本質であり、エネルギー転用の能動的多様性がクラスタを規定する根本的差異である。
24,45,両クラスタとも「火山地」に分類される標高700m超の火山体斜面に位置し、地熱活動に直結した自然湧出型温泉という地質的本質を共有している。人工的開発の有無を問わず、火山性地熱エネルギーが温泉の根源であるという点で一致している。,クラスタAは旅館・共同浴場・廃業跡地・野湯など多様な土地利用形態と広域分布を示す「開発段階の多様性」を持つのに対し、クラスタBは全ノードがnatural=hot_springのみで構成される施設情報の完全均質性が際立ち、人的介入が皆無な「純粋自然湧出の閉鎖系」として対照をなす。
25,23,両クラスタは共に、火山性地熱を起源とする自然湧出型温泉を核心とし、山地・火山地の自然環境下に立地する。高度な施設インフラを持たず、自然景観と一体化した「野湯的性格」を本質的に共有している。,クラスタAは北海道内陸火山帯に地理的に集中し、施設化の程度に幅はあるものの行政・観光資本の関与が一定程度認められる。一方クラスタBは東日本全域に分散し、国有林・林道奥地など制度的管理が構造的に及びにくい立地に特化しており、「地理的集中vs広域分散」かつ「部分的行政関与vs制度的管理の外縁」という二重の対比が両クラスタを分ける本質的差異である。
26,33,両クラスタとも標高229〜1066mの山地・渓谷地形に立地し、温泉資源を核として道の駅・共同浴場・宿泊施設などの複合的サービスが集積する「山間温泉拠点」という本質を共有する。また、いずれも単純な都市型温泉ではなく、地形的制約が立地と施設構成を規定している点でも共通する。,クラスタAは道路・バス・駐車場などの公共インフラが整備された「アクセス可能な複合拠点型」であるのに対し、クラスタBは峡谷侵食地形による到達困難性・孤立性が本質であり、狭軌鉄道専用アクセスや廃湯遺構を含む「交通困難な陸の孤島型」という点で根本的に異なる。
27,28,両クラスタとも北海道の火山性地質帯に根ざした温泉地であり、硫黄・塩化物・硫酸塩系の泉質を有する点、および公衆浴場・日帰り施設・野湯など多様な利用形態が混在する点を共有する。地域住民と観光客が同一の湯を利用する「公共財としての温泉」という性格も両クラスタに通底している。,クラスタAは地形・泉質・施設形態が多様でありながら「自治体・公社運営の地域密着型公衆温泉」という運営主体の同質性が核心であるのに対し、クラスタBは施設規模・運営形態が大型リゾートから廃絶野湯まで極めて異質でありながら「火山噴出活動への直接的な地質的起源」という成因の同質性がクラスタを規定する本質的差異である。
29,30,両クラスタとも、地域住民・宿泊者を主体とした共同浴場（外湯）文化を核に持ち、石畳の旅館街や自治組織的な温泉管理体制を伴う。扇状地・火山山麓地などの特定地形上に立地し、冬季観光（スキー）との共存構造も両者に通底する本質的特徴である。,クラスタAは「宿泊者への鍵貸与」を前提とした参加資格付き閉鎖的巡浴システムが核心であるのに対し、クラスタBは湯仲間等の地元自治組織が管理する開放的な共同浴場とスキーリゾートの二重構造が本質であり、温泉へのアクセス主体と管理主体の開放性において根本的に異なる。
30,31,両クラスタとも火山山麓地形上に立地し、源泉を核とした共同浴場・公衆浴場文化を地域コミュニティの基盤として持つ。高標高の火山性温泉地として、温泉インフラが単なる観光施設を超え、地域の社会・空間構造そのものに組み込まれている点が共通する本質的特徴である。,クラスタAは「豪雪・スキーリゾートとの共生」を軸に多様な地形・地域・標高に分散展開する複合型温泉文化圏であるのに対し、クラスタBは草津温泉を中心に火山山麓地形に特化し、pH約2.0の自噴酸性泉が都市インフラそのものとして機能する「源泉直結型温泉都市」という高度に集約・特化した構造を持つ点が最も本質的な差異である。
32,42,両クラスタとも、人工的な温泉開発に依存せず地熱・地質由来の自然湧出を本質とし、宿数が極めて少ない孤立立地型の秘湯・一軒宿型温泉地である。アクセス困難な山地・渓谷地形に立地し、泉質そのものが存在価値の核となっている点で共通する。,クラスタAは急峻な山岳・火山地帯に立地し「泉質スペックの極端な個性（塩分・温度・成分の希少性）」が核心であるのに対し、クラスタBは河川・渓谷沿いの自然湧出地形に立地し「施設整備の極小化と野湯的開放性（川風呂・河原露天・24時間無人開放）」が核心であり、前者は泉質の特異性、後者は地形と湧出形態の原始性によって分類される。
33,35,両クラスタとも山間僻地の標高400〜1100m帯に位置し、通常の都市型インフラから隔絶された「辺境性」を共有する。廃湯遺構・野湯・山小屋型など施設整備水準の低い地点を含み、観光開発の均質化に抗する原始的な温泉環境が保存されている点も共通する。,クラスタAの本質は「峡谷侵食地形による物理的到達困難性（交通困難地）」であるのに対し、クラスタBの本質は「非火山性断層・鉱脈由来の地質的希少泉質（内陸塩泉・冷鉱泉等）」にある。前者は地形的孤立が核心であり、後者は地下地質の特異性が核心である。
34,36,両クラスタとも標高800m超の山地・火山山麓地帯に立地し、火山性地質を温泉の成立基盤とする高標高温泉地である点、および温泉単体ではなくスポーツ・宿泊・観光施設との複合利用圏を形成している点が共通する本質的特徴である。,クラスタAは火山活動・山岳地形そのものが温泉の存在根拠となる「地形地質依存型」であり秘湯から観光地まで開発度が分散するのに対し、クラスタBは大資本・公共主体が整備した高原観光拠点に温泉が付帯アメニティとして組み込まれた「リゾート施設従属型」であり、温泉の主体性・独立性の有無が両者を分ける本質的差異である。
37,106,両クラスタとも観光地化を志向せず、地域住民の日常生活に根ざした「生活密着型・地域密着型の入浴施設」という本質を共有する。谷底低地・扇状地など生活圏の地形上に立地し、コミュニティの生活インフラとして機能する点も共通している。,クラスタAは住宅地・生活圏に自然発生的に溶け込んだ「公衆浴場・家族湯」型であるのに対し、クラスタBは「センター」「福祉」「ふれあい」を冠する行政・公共主導の健康増進・福祉サービス施設として計画的に整備された点が最も本質的な差異である。
38,97,両クラスタとも、民間主導の観光温泉街とは一線を画し、地域インフラ・公共施設と一体化した「生活圏結節点型温泉」という性格を共有する。道路・道の駅・公共交通との連動が顕著で、地域住民の日常利用と観光動線が交差する拠点として機能している点が本質的共通項である。,クラスタAは八ッ場ダム建設・鉱山開発・集落移転など「人為的土地改変の歴史的文脈」に規定された受動的整備型温泉であるのに対し、クラスタBは行政・第三セクターが道の駅や市町村施設に温泉機能を積極的に組み込んだ「公共政策主導の能動的地域拠点型温泉」であり、整備の主体性と動機が根本的に異なる。
39,56,両クラスタとも、後背湿地・谷底低地・砂礫質台地などの低平地・堆積地形に立地し、観光・湯治目的ではなく地域住民の日常的な保健・入浴・交流を支える公営・準公営の生活密着型温泉施設として機能している点が共通する本質的特徴である。,クラスタAは北海道全域〜青森に広域分散し、福祉センター・老人福祉施設との一体化や高級リゾート・野湯まで含む施設形態の多様性と11種類に及ぶ地形分類の幅広さが際立つのに対し、クラスタBは後背湿地・谷底低地を中心とした4地形分類に収斂し、町営公衆浴場・農村交流センターなど小規模公営施設に特化した均質性が本質的な差異である。
41,56,両クラスタはともに`amenity=public_bath`として記録された地域密着型の公衆浴場であり、観光旅館や秘湯ではなく地元住民の日常的な入浴・交流インフラとして機能している点が本質的な共通特徴である。,クラスタAは東北・北海道・北陸にまたがる広域分散立地で農村景観・歴史遺跡・キャンプ場など多様な文脈に埋め込まれるのに対し、クラスタBは北海道内に集中し後背湿地・谷底低地など低平軟弱地盤への偏在と都市公園・道の駅・過疎集落など都市農村連続体上の施設複合性が際立つ。
43,50,両クラスタとも火山弧・地熱帯に起源を持つ温泉資源を核とし、国立・国定公園や自然地域に立地しながら、観光消費型ではなく「湯治・保養」という身体的・福祉的利用文化を基盤とする点で共通する。,クラスタAは活火山の噴気・強酸性熱水を直接利用する「地熱極限環境型湯治」であり、アクセス困難性が湯治文化を構造的に維持するのに対し、クラスタBは廃線・過疎化後の地域に残存・再生した「公共福祉インフラ型入浴施設」であり、低廉な料金と住民アクセス性が本質的機能を規定する。
44,45,両クラスタとも火山地帯の高標高域（600m超）に立地し、現在進行形の火山活動・地熱エネルギーを直接源泉とする「地熱直結型自然湧出温泉」という本質的性格を共有している。,クラスタAは強酸性・硫黄等の極端な泉質と大型湯治旅館から野湯まで多様な施設形態を持つ「地熱エネルギーの複合的利用拠点」であるのに対し、クラスタBはnatural=hot_springのみで構成される人工施設皆無の「純粋自然湧出型未開発温泉」であり、人為的介入の度合いが両者を根本的に分ける。
46,48,両クラスタは共に、標高600m以上の火山地・山地という地熱活動と地形的隔絶性を基盤とし、都市型温泉施設とは一線を画す「自然環境への到達点としての温泉」という本質を共有する。公衆浴場・野湯・一軒宿といった施設形態の差異を超え、いずれも地熱エネルギーとの直接的接続を核とした非日常的湯浴み体験を提供する点で共通している。,クラスタAはスキーリゾートや登山インフラと連動した「レジャー到達点としての公衆浴場」であり、観光消費型の多様な施設規模を内包するのに対し、クラスタBは一軒宿・自炊部・湯治文化という「施設整備を最小化した原初的湯治空間の継承」を本質とする。前者が外部観光インフラへの接続性を前景化するのに対し、後者は孤立性と地熱との直接性そのものが価値の核となっている点が最も本質的な差異である。
47,42,両クラスタとも、都市部から隔絶された山岳・渓谷地帯に立地し、人工的な温泉開発ではなく地熱・地質由来の自然湧出を源泉とする点で共通する。また、国立公園や自然保護区域と重なる立地が多く、登山・トレッキング等の自然体験と温泉利用が不可分に結びついた「自然環境依存型温泉地」という本質を共有している。,クラスタAは「引湯・源泉インフラ整備」により登山動線上に温泉機能を組み込んだ高標高山岳型であるのに対し、クラスタBは河川・河原への自然湧出を核心とし施設整備を極力排した野湯的秘湯型である。すなわち、人間による地形への介入度と温泉インフラの構造化レベルが両クラスタを分ける最も本質的な軸である。
48,49,両クラスタとも東北の火山性高標高地帯（火山地・火山山麓地）に立地し、地熱エネルギーを直接利用した硫黄泉・酸性泉等の多様な泉質を持つ。また野湯・廃業跡・一軒宿を含む施設形態の多様性と、湯治文化の原形を残す地点を共有する。,クラスタAは地熱を「湯治・静養という人間の身体的回復」へ内向きに完結させる「孤立型自己完結構造」を本質とするのに対し、クラスタBは地熱エネルギーの強度を発電・農業・大規模観光リゾートへ外向きに転用する「エネルギー社会実装型」構造を本質とする点が最も根本的な差異である。
51,52,両クラスタとも火山性地熱を熱源とする温泉を核に持ち、スキーリゾートや国立公園など広域観光インフラと結びついた中〜高標高の山岳・山麓地帯に立地する点で共通する。温泉が単独施設にとどまらず、地域の自然環境や観光機能と複合的に統合されている点も本質的に共有される特徴である。,クラスタAは火山地形・湿原・湖沼などの自然地形と温泉が生態系レベルで一体化した「地熱自然系」であるのに対し、クラスタBはスキー場・鉄道アクセス・宿泊施設群に内包されたアフタースキー向け疲労回復機能として温泉が位置づけられる「ウィンタースポーツ観光インフラ系」であり、温泉の主体性と自然との結合様式が根本的に異なる。
53,54,両クラスタとも「生活圏密着型の公衆浴場・日帰り温泉」を核とし、amenity=public_bathタグが付与された銭湯・町営浴場・ホテル付帯温泉が混在する。周辺に生活インフラ（コンビニ・郵便局・バス停等）が集積し、地域住民の日常的入浴需要を担う点が共通の本質である。,クラスタAは札幌都市圏を核とする広域・高密度な生活密着型施設群であり、扇状地を主体とする多様な地形上に昭和期銭湯から複合リゾートまで重層的に分布する。対してクラスタBは後背湿地・低標高の低平地に立地する施設が卓越し、廃駅転用・駅舎併設など交通インフラ再利用型の小規模公営・保養施設が主体で、観光性と生活性の両極が同一クラスタに共存する点が最大の差異である。
55,56,両クラスタとも、温泉単体の観光集客力に依存せず、公園・道の駅・農村交流センター等の既存地域インフラに付帯・統合された「生活密着型入浴拠点」として機能しており、後背湿地・谷底低地・砂礫質台地等の低〜中標高地形に立地する点も共通する。,クラスタAは国道・道道沿いの道の駅・競技施設・大型リゾートに付帯する「道路交通結節・通過型」施設であり地形・地域の多様性が極めて高いのに対し、クラスタBは後背湿地・谷底低地の低平地を主な立地基盤とし、地域住民の日常的入浴を担う「公衆浴場・公営型」施設に特化している点が本質的差異である。
57,87,両クラスタとも「amenity=public_bath」を核とする地域密着型の公衆浴場・日帰り温泉施設群であり、宿泊型観光リゾートではなく地元住民の日常的入浴文化を支える生活インフラとしての公共性が本質的共通点である。,クラスタAは低〜中標高の平地・丘陵・谷底低地に立地する小規模・素朴な施設が中心で観光化度が低く均質な生活圏温泉であるのに対し、クラスタBは火山性地形を含む標高5〜786mの広域な地形・地質に分布し、黒川・雲仙のような高度観光地から無名の単独浴場まで施設規模と観光化度の格差が極めて大きい点が本質的差異である。
58,88,両クラスタとも火山性地熱を背景とする公衆浴場（amenity=public_bath）を核とし、谷底低地・火山地・丘陵など多様な地形に分布しながら、単なる入浴施設を超えた地域コミュニティの結節点として機能している点が共通する。,クラスタAは観光資源（絶景・遺産・テーマパーク等）と不可分に結びついた「地域体験パッケージ型」であるのに対し、クラスタBは農地・学校・住宅地に隣接し住民の日常生活インフラとして機能する「地域福祉密着型」であり、温浴施設の社会的役割と利用者層が本質的に異なる。
60,90,両クラスタとも、観光旅館や湯治宿とは一線を画す「地域住民の日常利用を主目的とした公益的温泉施設」という機能的本質を共有する。自治体・福祉法人・道の駅複合型など運営主体は多様だが、温泉が地域コミュニティの生活インフラ・結節点として機能している点が共通の核心である。,クラスタAは自治体・財団・社会福祉法人による「行政・公益主導型」の運営形態と全国分散という地域的広がりが本質的特徴であるのに対し、クラスタBは郵便局・保育所・バスターミナル等の生活インフラが集積する「生活圏密着型」の立地特性と、砂礫質台地・自然堤防・後背湿地・干拓地など低平地系地形分類の多様性が際立ち、西日本の平野・低地部への地域的偏在が顕著である点で本質的に異なる。
61,62,両クラスタとも、純粋な秘湯・山岳湯治場ではなく、道路・鉄道・公共施設などの既存インフラと複合的に結びついた「アクセス可能な生活圏内温泉」である点が共通する本質的特徴である。,クラスタAが行政・福祉・道の駅等の地域住民向け公共インフラに温浴機能が埋め込まれた「非宿泊型の地域密着施設」であるのに対し、クラスタBは鉄道駅近接の高アクセス性を軸に宿泊・日帰り両対応の「広域集客型宿泊一体施設」として機能する点が最も本質的な差異である。
63,132,両クラスタとも、三角州・海岸低地・後背湿地・自然堤防などの沖積低地を主要立地基盤とし、コンビニ・商店街・コインランドリーが隣接する旧来の下町住宅密集地に根ざした「生活インフラ型銭湯」として、地域住民の日常的衛生・交流拠点を担う点で本質的に一致する。,クラスタAは東京23区に留まらず川崎・大阪・神戸・熊谷・つくばと広域多都市圏に分散し、ローム台地・扇状地・埋立地・ロードサイド型スーパー銭湯まで地形・業態の多軸的多様性を持つのに対し、クラスタBは東京23区内に集中し、地形・業態ともに沖積低地の街の銭湯という類型的均質性が高い点が最も本質的な差異である。
64,108,両クラスタとも大都市圏の生活圏内に立地し、amenity=public_bathとして地域住民の日常的入浴需要を担う銭湯・公衆浴場である点が共通する。観光・保養・秘湯といった非日常性とは無縁で、周辺にコンビニ・飲食店・住宅が密集する生活インフラとしての性格が本質的に一致している。,クラスタAは扇状地・ローム台地・砂礫質台地・丘陵など多様な地形・標高帯（0.5〜71.2m）に分布し、小規模銭湯から大型複合スパまで業態の幅が広い都市密着型の混在クラスタであるのに対し、クラスタBは後背湿地・自然堤防・三角州・干拓地など標高0〜10m未満の沖積低地に強く偏在し、下町的旧市街地の小規模公衆浴場に特化した地形拘束性の高いクラスタである。
65,92,両クラスタとも、温泉資源を核としながら単独の「秘湯」や純粋な湯治場にとどまらず、周辺の地域インフラ・施設と複合的に結びついた「多機能型温泉施設」として機能している点が共通する。また、標高の低い沿岸・低地地形への立地傾向も両者に共有される本質的特徴である。,クラスタAが海辺の観光集積を軸に温泉を「観光コンテンツ」として演出・ブランド化した「外来観光客向け複合温泉地」であるのに対し、クラスタBは公民館・福祉センター・道の駅等の公共インフラと一体化し、地域住民の日常的健康増進・福祉交流を主目的とした「生活圏密着型公共温泉施設」である点が最も本質的な差異である。
66,128,両クラスタとも「目的地型温泉観光地」ではなく、都市生活圏・交通インフラ圏に付帯する非観光型の公衆浴場・入浴施設であり、地形的多様性が高い一方で「温泉そのものが主目的でない立地」という点を共有している。,クラスタAが道の駅・空港・SA・商業施設など「移動・消費の動線上に挿入されたついで利用型施設」であるのに対し、クラスタBは住宅地・商店街に直接面した銭湯・共同浴場であり、「地域住民の日常的生活再生産の場」として機能する点が本質的な差異である。
